,qid,uid,label
0,726c3abc84a99da48e27c2d8f19c2bc8,e85d05b6796c351e6a83cfc85309b023,0.935909032822
1,3737dc50f0f4b1a3df77b96cbf9ce928,e13419f565027f9c64bdab889acd1cbe,0.923522472382
2,a2adc7a16a129c2326706238e186cd11,b19ebc32f3d1de37e12792edc149993f,0.860974609852
3,56fadfe2695e9ce7c1e50d5f0fa705fb,ac0efd36e6f6eca572f448d6020dce89,0.885586023331
4,cf06c69d63dcab40a6f0b35d594d42b7,6aa377580a87ab45bc40da0cf220e530,0.656955301762
5,23f707b3c605454f7a095922777c2a58,74c3f0c758dd8c3ae3a9f486346f0c56,0.860307276249
6,40ed7a89f51921e410d278658b6563ac,f33d4e894c2229000114eab3a3fd8667,0.914773821831
7,239ba3e9cfd9b2582e033b0446f7b6ce,eb597fb9e6c92106ad976a2bfc33f11a,0.898624241352
8,9c6ed35f3cfd9ce2bf8cc0277677772a,6f2645a07e0cb5a71be55d8d0aca535f,0.902835249901
9,406eb8a04629fe6e453e793b5368faa8,ad5b4b01889ed750bc1de041409a889d,0.876256585121
10,0394717346380f37af9f332a6e0b711d,58f771da2d34ca41fcb73abef11d8f1e,0.817009150982
11,a35c0190ef079f7a60c8dfc285cf26f1,2c5cfd88c429376ba81e24d63b994a27,0.884544670582
12,b29bf04590df1c7a6addd2988fad288b,d6ab4e143e46ec81b876a2888d8dc6ac,0.887145042419
13,e9c9a59dd0ebae494529142c36724b50,aaf439c4848e24429382607541de5c3b,0.913050949574
14,1414becd09ac3c7e1a0b1782619337f5,a9d3d55c7b7d67ab9432fd188d53c20b,0.899063944817
15,74ba90087fd503e145d1cd28fe797abc,8ad2cafcfc7230143ac23c9755766017,0.865046620369
16,52e0acdceb5c7cdb026b1c8fdadd33c5,ca5d0a9b29bf2882580bffb913ce53db,0.63626408577
17,075392b2e37d91d5f15e1d05f109d777,6be05503b779607a90a982bad61cba96,0.902167141438
18,d0fe358c81a647357a14739426bcc56a,df032cfeeb60832c362f40324b6e99ef,0.927321910858
